study,year,location,state,cultivar,planting_date,app_date,growth_stage,brand_name,group,active_ingred,n,mean_sev,mean_yld,v_sev,v_yld,rep,rating_disease,yld_check,v_yld_check,sev_check,v_sev_check
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,8.75,3091.81875,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,check,check,check,4,13.75,2943.8687499999996,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Domark,DMI,tetraconazol,4,8.75,3098.54375,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,5.5,NA,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Headline,QoI,pyraclostrobin,4,10,NA,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Priaxor+Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,8.75,3152.34375,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,5.5,3555.84375,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,8.75,3466.7375,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Stratego YLD+Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,5,3607.9625,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Topguard,DMI,flutriafol,4,5.5,3396.125,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,TOPSIN-M,MBC,thiophanate-methyl,4,5,2809.36875,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
2,2015,NRES,Arkansas,Armor 4744,NA,NA,R3,Topsin XTR,MBC,thiophanate-methyl+tebuconazole,4,5,3155.70625,4.591540404040402,92661.77399613573,NA,NA,2943.8687499999996,92661.77399613573,13.75,4.591540404040402
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,10.75,3199.41875,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Aproach,QoI,picoxystrobin,4,31.25,2289.8625,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,check,check,check,4,34.75,2468.075,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Domark,DMI,tetraconazol,4,9,3226.3187500000004,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Echo 720,Multi-S,chlorothalonil,4,8,3169.15625,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Folicur,DMI,tebuconazole,4,14.75,2732.03125,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,8.25,2881.6625,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Headline,QoI,pyraclostrobin,4,32.75,2422.68125,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Overrule,MBC+DMI,thiophanate-methyl+tebuconazole,4,7,3423.025,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Priaxor,QoI+SDHI,pyraclostrobin+fluxapyroxad,4,17.75,2671.50625,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,11.75,2804.325,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Proline,DMI,prothioconazole,4,10.5,3127.125,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Quadris,QoI,azoxystrobin,4,33.75,2590.80625,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,9,3322.15,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,16.25,2738.75625,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,11.5,3157.3875,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Topguard,DMI,flutriafol,4,7,3286.84375,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
3,2015,Dixon Springs,Illinois,Armor 4744,05/23/2015,07/31/2015,R3,Topsin 4.5,MBC,thiophanate-methyl,4,5.5,3280.11875,10.387799564270129,83702.63100149776,NA,NA,2468.075,83702.63100149776,34.75,10.387799564270129
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,25,3693.70625,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,check,check,check,4,42.5,3307.01875,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Domark,DMI,tetraconazol,4,30,3439.8375,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,11.25,3819.8,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Headline,QoI,pyraclostrobin,4,42.5,3661.7625,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,22.5,3947.575,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,20,3707.15625,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,22.5,3776.0875,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,20,3658.4,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Topguard,DMI,flutriafol,4,17.5,3723.96875,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Topsin 4.5,MBC,thiophanate-methyl,4,22.5,3434.7937500000003,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
4,2015,Carbondale,Illinois,AG 4433,5/29/2015,07/21/2015,R3,Topsin XTR OR Overrule,MBC+DMI,thiophanate-methyl+tebuconazole,4,20,3653.35625,53.42487373737374,68591.8552982955,NA,NA,3307.01875,68591.8552982955,42.5,53.42487373737374
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,0.6675,3367.5437500000003,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,check,check,check,4,2.1675,3342.325,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,NA,3349.05,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Headline,QoI,pyraclostrobin,4,3.3325,3488.59375,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,0.5825,3344.00625,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,2.0825,3325.5125,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,0.41500000000000004,3428.06875,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,0.41500000000000004,3375.95,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Topguard,DMI,flutriafol,4,0.915,3243.13125,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Topsin 4.5,MBC,thiophanate-methyl,4,1.9175,3470.1,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
5,2015,Ames,Iowa,AG3334,05/19/2015,08/03/2015,R3,Topsin XTR,MBC,thiophanate-methyl+tebuconazole,4,0.41750000000000004,3332.2375,5.222785250410907,24649.952811553016,NA,NA,3342.325,24649.952811553016,2.1675,5.222785250410907
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,26.675,3644.9500000000003,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,check,check,check,4,50,2580.71875,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Domark,DMI,tetraconazol,4,25,3379.3125,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,20.4,3813.075,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Headline,QoI,pyraclostrobin,4,NA,NA,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,20.825,3942.53125,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,20,3613.0062500000004,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,33.35,3382.675,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,20.825,3969.43125,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Topguard,DMI,flutriafol,4,NA,NA,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Topsin 4.5,MBC,thiophanate-methyl,4,20.425,3760.95625,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
6,2015,Princeton,Kentucky,NA,NA,07/21/2015,R3,Topsin XTR OR Overrule,MBC+DMI,thiophanate-methyl+tebuconazole,4,19.15,3698.75,5.971763440860214,60465.9433368616,NA,NA,2580.71875,60465.9433368616,50,5.971763440860214
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,37.5,3127.125,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,check,check,check,4,82.5,2690.3362500000003,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Domark,DMI,tetraconazol,4,22.5,3169.996875,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,NA,NA,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Headline,QoI,pyraclostrobin,4,37.5,2851.3999999999996,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,25,3398.310625,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,26.25,2963.203125,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,23.75,3155.538125,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,30,3225.141875,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Topguard,DMI,flutriafol,4,22.5,3407.89375,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Topsin 4.5,MBC,thiophanate-methyl,4,30,3225.141875,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
7,2015,Baton Rouge,Louisiana,NA,NA,NA,R3,Topsin XTR,MBC,thiophanate-methyl+tebuconazole,4,22.5,3090.81,34.886363636363626,71536.3854189299,NA,NA,2690.3362500000003,71536.3854189299,82.5,34.886363636363626
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,35,3615.864375,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,check,check,check,4,86.25,3293.2325,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Domark,DMI,tetraconazol,4,18.75,4026.59375,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,32.5,3724.809375,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Headline,QoI,pyraclostrobin,4,37.5,3799.456875,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,25,3398.310625,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,30,3515.998125,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,36.25,3601.91,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,25,3630.323125,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Topguard,DMI,flutriafol,4,20,3863.84875,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Topsin 4.5,MBC,thiophanate-methyl,4,28.75,3793.0681250000002,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
8,2015,Crowley,Louisiana,NA,NA,NA,R3,Topsin XTR,MBC,thiophanate-methyl+tebuconazole,4,10,4245.660625,19.696969696969745,32726.316372522084,NA,NA,3293.2325,32726.316372522084,86.25,19.696969696969745
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,2.4499999999999997,1474.45625,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,check,check,check,4,8.3,1452.6,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Domark,DMI,tetraconazol,4,2.1,1652.66875,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,2.05,1657.7125,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Headline,QoI,pyraclostrobin,4,5.5,1348.3625,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Priaxor + Domark,DMI+QoI+SDHI,pyraclostrobin+fluxapyroxad+tetraconazol,4,2.15,1590.4625,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Quadris Top,QoI+DMI,azoxystrobin+difenoconazole,4,2.4,1523.2125,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,3.05,1415.6125000000002,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Stratego YLD + Proline,QoI+DMI+DMI,trifloxystrobin+prothioconazole+prothioconazole,4,1.8499999999999999,1543.3875,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Topguard,DMI,flutriafol,4,2.85,1444.19375,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Topsin 4.5,MBC,thiophanate-methyl,4,1.75,1519.85,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
9,2015,Turtleback,Louisiana,NA,NA,NA,R3,Topsin+Orius,MBC+DMI,thiophanate-methyl+tebuconazole,4,2.5,1491.26875,2.498813131313126,31092.502981376336,NA,NA,1452.6,31092.502981376336,8.3,2.498813131313126
10,2015,NA,Mississippi,DynaGro 37RY47,6/6/2015,07/29/2015,R3,check,check,check,4,52.5,3244.8125,89.8989898989899,67704.24530460863,NA,NA,3244.8125,67704.24530460863,52.5,89.8989898989899
10,2015,NA,Mississippi,DynaGro 37RY47,6/6/2015,07/29/2015,R3,Domark,DMI,tetraconazol,4,50,3295.25,89.8989898989899,67704.24530460863,NA,NA,3244.8125,67704.24530460863,52.5,89.8989898989899
